Category,Type,Color,Icon Color,Icon,Prefix,Name,Address,Latitude,Longitude
Coffee,Coffee  Shop,beige,back,mug-hot,fa,Súper Coffee & Food Store,"Carrer de Roc Boronat, 102, Barcelona",41.4020948,2.1956646
Coffee,Coffee  Shop,beige,back,mug-hot,fa,Syra Coffee - Clot,"C/ del Clot, 49, Barcelona",41.40778,2.1880962
Coffee,Coffee  Shop,beige,back,mug-hot,fa,Gloria Bean's Coffees Cafe & Bakery,Barcelona,41.4076782,2.1921508
Coffee,Coffee  Shop,beige,back,mug-hot,fa,liv.coffee,"Carrer de Roc Boronat, 102, Barcelona",41.402094,2.1956026
Coffee,Coffee  Shop,beige,back,mug-hot,fa,Rosella Coffee,"Carrer de Rossend Nobas, 16, Barcelona",41.4084666,2.1894407
Coffee,Coffee  Shop,beige,back,mug-hot,fa,Three Marks Coffee,"C/ d'Ausiàs Marc, 151, Barcelona",41.3972208,2.1831896
Coffee,Coffee  Shop,beige,back,mug-hot,fa,CoffeeClot,"C/ del Clot, 89, Barcelona",41.409353,2.1886649
Coffee,Coffee  Shop,beige,back,mug-hot,fa,Acid House Coffee Shop,"C/ d'Àvila, 84, Barcelona",41.3978064,2.1944827
Coffee,Coffee  Shop,beige,back,mug-hot,fa,The Garden Brunch café,"Rambla del Poblenou, 147, Barcelona",41.406425,2.194025
Coffee,Coffee  Shop,beige,back,mug-hot,fa,The Miners Coffee Rambla Poblenou,"Rambla del Poblenou, 107, Bajo 1, Barcelona",41.4029187,2.1985535
Coffee,Coffee  Shop,beige,back,mug-hot,fa,CASA TAOS,"C. d'Àlaba, 100, Barcelona",41.3980828,2.1919829
Coffee,Coffee  Shop,beige,back,mug-hot,fa,Nomad Frutas Selectas,"C. de Pujades, 95, Barcelona",41.397972,2.195644
Coffee,Coffee  Shop,beige,back,mug-hot,fa,J. LOVE COFFEE,"Av. Diagonal, 141, Barcelona",41.4059126,2.1983073
Coffee,Coffee  Shop,beige,back,mug-hot,fa,Little Fern,"C/ de Pere IV, 168, Barcelona",41.4023546,2.1975128
